_id,PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
5525,2020-02-14,YAŞAYAN SAYFALAR,Gaziosmanpaşa Sahnesi,Çocuk,0,Yerli,28.9164819999999985,41.0578459999999978,25
5526,2018-01-31,MAKEDONYA GAMZESİ,Üsküdar Musahipzade Celãl Sahnesi,Müzikal,0,Yerli,29.0128999999999984,41.019561000000003,41
5527,2018-03-02,SAADET HANIM,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,20
5528,2018-01-09,DEDEKTİF KÖPEK CASH,Gaziosmanpaşa Sahnesi,Çocuk,0,Yerli,28.9164819999999985,41.0578459999999978,43
5529,2017-12-10,BİR KÜMES HİKAYESİ,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.015900000000002,82
5530,2017-11-02,SAADET HANIM,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,74
5531,2019-01-20,BİSKÜVİ ADAM,Gaziosmanpaşa Sahnesi,Çocuk,0,Yabancı,28.9164819999999985,41.0578459999999978,85
5532,2018-04-02,ŞAHANE ZÜĞÜRTLER,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.0234079999999999,40.9917700000000025,5
5533,2018-01-18,ÜZGÜN AĞAÇLAR ÜLKESİ,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.015900000000002,171
5534,2020-02-17,İKİ EFENDİNİN UŞAĞI,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.9709719999999997,41.0793660000000003,14
5535,2019-05-11,GETTO (GALATASARAY LİSESİ),Kağıthane Sadabad Sahnesi,Yetişkin,1,Yabancı,28.9709719999999997,41.0793660000000003,23
5536,2017-10-24,MARTI,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,41
5537,2019-12-21,BİSKÜVİ ADAM,Kağıthane Sadabad Sahnesi,Çocuk,0,Yabancı,28.9709719999999997,41.0793660000000003,66
5538,2018-09-28,ŞAHANE ZÜĞÜRTLER,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,49
